2'li Ana grup kodu;HBS_KOD5;tr;Grup ad
1;1111;GIDA;P˜R˜N€
1;1112;GIDA;UN VE D˜¦ER TAHILLAR
1;1113;GIDA;EKMEK
1;1114;GIDA;D˜¦ER FIRINCILIK šRšNLER˜
1;1115;GIDA;P˜ZZA VE K˜ž
1;1116;GIDA;MAKARNA šRšNLER˜ VE KUSKUS
1;1117;GIDA;KAHVALTILIK TAHIL šRšNLER˜
1;1118;GIDA;D˜¦ER TAHIL šRšNLER˜
1;1121;GIDA;SI¦IR VE DANA ET˜
1;1122;GIDA;DOMUZ ET˜
1;1123;GIDA;KOYUN, KUZU VE KE€˜ ET˜
1;1124;GIDA;KšMES HAYVANI ET˜
1;1125;GIDA;D˜¦ER ETLER
1;1126;GIDA;YEN˜LEB˜L˜R SAKATATLAR
1;1127;GIDA;KURUTULMUž, TUZLANMIž VEYA TšTSšLENM˜ž ET
1;1128;GIDA;D˜¦ER ET MšSTAHZARLARI
1;1131;GIDA;TAZE VEYA SO¦UTULMUž BALIK
1;1132;GIDA;DONDURULMUž BALIK
1;1133;GIDA;TAZE VEYA SO¦UTULMUž DEN˜Z šRšNLER˜
1;1134;GIDA;DONDURULMUž DEN˜Z šRšNLER˜
1;1135;GIDA;KURUTULMUž, TšTSšLENM˜ž VEYA TUZLANMIž BALIK VE DEN˜Z šRšNLER˜
1;1136;GIDA;D˜¦ER KORUNMUž VEYA ˜žLENM˜ž BALIK VE DEN˜Z šRšNš BAZLI MšSTAHZARLAR
1;1141;GIDA;TAM YA¦LI SšT
1;1142;GIDA;AZ YA¦LI SšT
1;1143;GIDA;KORUNMUž SšT
1;1144;GIDA;YO¦URT
1;1145;GIDA;PEYN˜R VE LOR
1;1146;GIDA;D˜¦ER SšT šRšNLER˜
1;1147;GIDA;YUMURTA
1;1151;GIDA;TEREYA¦I
1;1152;GIDA;MARGAR˜N VE D˜¦ER B˜TK˜SEL KATI YA¦LAR
1;1153;GIDA;ZEYT˜NYA¦I
1;1154;GIDA;D˜¦ER YEN˜LEB˜L˜R SIVI YA¦LAR
1;1155;GIDA;D˜¦ER YEN˜LEB˜L˜R HAYVANSAL KATI YA¦LAR
1;1161;GIDA;TAZE VEYA SO¦UTULMUž MEYVELER
1;1162;GIDA;DONDURULMUž MEYVELER
1;1163;GIDA;KURUTULMUž MEYVELER VE SERT KABUKLU MEYVELER
1;1164;GIDA;KORUNMUž MEYVELER VE MEYVE BAZLI šRšNLER
1;1171;GIDA;TAZE VEYA SO¦UTULMUž SEBZELER (PATATES VE D˜¦ER YUMRU K™KLš SEBZELER HAR˜€)
1;1172;GIDA;DONDURULMUž SEBZELER (PATATES VE D˜¦ER YUMRU K™KLš SEBZELER HAR˜€)
1;1173;GIDA;KURUTULMUž SEBZELER, D˜¦ER KORUNMUž VEYA ˜žLENM˜ž SEBZELER
1;1174;GIDA;PATATES
1;1175;GIDA;C˜PS
1;1176;GIDA;D˜¦ER YUMRU K™KLš SEBZELER VE BUNLARDAN YAPILAN šRšNLER
1;1181;GIDA;žEKER
1;1182;GIDA;RE€EL, MARMELAT VE BAL
1;1183;GIDA;€˜KOLATA
1;1184;GIDA;žEKERLEME šRšNLER˜
1;1185;GIDA;YEN˜LEB˜L˜R BUZ VE DONDURMA
1;1186;GIDA;YAPAY TATLANDIRICILAR
1;1191;GIDA;SOSLAR, €EžN˜LER (LEZZET VER˜C˜LER)
1;1192;GIDA;TUZ, BAHARAT VE YEMEKLERE TAT VERMEK ˜€˜N KULLANILAN B˜TK˜LER
1;1193;GIDA;BEBEK MAMALARI
1;1194;GIDA;HAZIR YEMEKLER
1;1199;GIDA;BAžKA YERDE SINIFLANDIRILMAMIž D˜¦ER GIDA šRšNLER˜
1;1211;GIDA;KAHVE
1;1212;GIDA;€AY
1;1213;GIDA;KAKAO VE €˜KOLATA TOZU
1;1221;GIDA;MADEN VEYA KAYNAK SULARI
1;1222;GIDA;ALKOLSšZ ˜€ECEKLER
1;1223;GIDA;MEYVE VE SEBZE SULARI (˜€MEK ˜€˜N KULLANILANLAR)
2;2111;GIDA;˜€K˜LER VE L˜K™RLER
2;2112;GIDA;HAF˜F ALKOLLš ˜€ECEKLER
2;2121;GIDA;žARAP, šZšMDEN
2;2122;GIDA;žARAP, D˜¦ER MEYVELERDEN
2;2123;GIDA;€EREZ žARAPLAR
2;2124;GIDA;žARAP BAZLI ˜€ECEKLER
2;2131;GIDA;LAGER B˜RALAR
2;2132;GIDA;D˜¦ER ALKOLLš B˜RALAR
2;2133;GIDA;DšžšK ALKOLLš VEYA ALKOLSšZ B˜RALAR
2;2134;GIDA;B˜RA ESASLI ˜€ECEKLER
2;2201;GIDA;S˜GARA
2;2202;GIDA;PURO
2;2203;GIDA;D˜¦ER TšTšN šRšNLER˜
2;2300;GIDA;UYUžTURUCU (NARKOT˜K) MADDELER
3;3110;D˜¦ER;G˜Y˜M MALZEMELER˜
3;3121;D˜¦ER;ERKEK G˜YS˜LER˜
3;3122;D˜¦ER;KADIN G˜YS˜LER˜
3;3123;D˜¦ER;BEBEK (0-2 YAž ARASI) VE €OCUK (3 -13 YAž ARASI) G˜YS˜LER˜
3;3131;D˜¦ER;D˜¦ER G˜Y˜M EžYALARI
3;3132;D˜¦ER;G˜Y˜M AKSESUARLARI
3;3141;D˜¦ER;G˜Y˜M EžYALARININ TEM˜ZLENMES˜
3;3142;D˜¦ER;G˜Y˜M EžYALARININ TAD˜LATI, ONARIMI VE K˜RALANMASI
3;3211;D˜¦ER;ERKEK AYAKKABILARI
3;3212;D˜¦ER;KADIN AYAKKABILARI
3;3213;D˜¦ER;BEBEK VE €OCUK AYAKKABILARI
3;3220;D˜¦ER;AYAKKABILARIN TAM˜R˜, TAD˜LATI VE K˜RALANMASI
4;4110;D˜¦ER;K˜RACILAR TARAFINDAN ™DENEN GER€EK K˜RALAR
4;4121;D˜¦ER;˜K˜NC˜ KONUTLAR ˜€˜N K˜RACILAR TARAFINDAN ™DENEN GER€EK K˜RALAR
4;4122;D˜¦ER;K˜RACILAR TARAFINDAN ™DENEN GARAJ K˜RALARI VE D˜¦ER K˜RALAR
4;4210;D˜¦ER;EV SAH˜B˜ OLARAK ˜KAMET EDENLER˜N ˜ZAF˜ K˜RALARI
4;4220;D˜¦ER;D˜¦ER ˜ZAF˜ K˜RALAR
4;4310;D˜¦ER;KONUTUN BAKIM VE ONARIMI ˜€˜N MALZEMELER
4;4321;D˜¦ER;SIHH˜ TES˜SAT€ILARIN H˜ZMETLER˜
4;4322;D˜¦ER;ELEKTR˜K€˜LER˜N H˜ZMETLER˜
4;4323;D˜¦ER;ISITMA S˜STEMLER˜N˜N BAKIM H˜ZMETLER˜
4;4324;D˜¦ER;BOYACILARIN H˜ZMETLER˜
4;4325;D˜¦ER;MARANGOZLARIN H˜ZMETLER˜
4;4329;D˜¦ER;KONUTUN BAKIM VE ONARIMI ˜€˜N D˜¦ER H˜ZMETLER
4;4410;D˜¦ER;SU TEM˜N˜
4;4420;D˜¦ER;€™PLER˜N TOPLANMASI
4;4430;D˜¦ER;KANAL˜ZASYON ATIKLARININ TOPLANMASI
4;4441;D˜¦ER;€OK DA˜REL˜ B˜NALARDA BAKIM HARCAMALARI
4;4442;D˜¦ER;GšVENL˜K H˜ZMETLER˜
4;4449;D˜¦ER;KONUTA ˜L˜žK˜N D˜¦ER H˜ZMETLER
4;4510;D˜¦ER;ELEKTR˜K
4;4521;D˜¦ER;DO¦AL GAZ VE HAVA GAZI
4;4522;D˜¦ER;SIVILAžTIRILMIž H˜DROKARBONLAR (BšTAN, PROPAN, VB.)
4;4530;D˜¦ER;SIVI YAKITLAR
4;4541;D˜¦ER;K™MšR
4;4549;D˜¦ER;D˜¦ER KATI YAKITLAR
4;4550;D˜¦ER;ISI ENERJ˜S˜
5;5111;D˜¦ER;EV MOB˜LYASI
5;5112;D˜¦ER;BAH€E MOB˜LYASI
5;5113;D˜¦ER;AYDINLATMA EK˜PMANI
5;5119;D˜¦ER;D˜¦ER MOB˜LYA VE MEFRUžAT
5;5121;D˜¦ER;HALI VE K˜L˜MLER
5;5122;D˜¦ER;D˜¦ER YER D™žEMELER˜
5;5123;D˜¦ER;DUVARDAN DUVARA HALILARIN (SAB˜TLENM˜ž OLANLAR DAH˜L) VE YER D™žEMELER˜N˜N D™žENMES˜ H˜ZMETLER˜
5;5130;D˜¦ER;MOB˜LYA, MEFRUžAT VE YER D™žEMELER˜N˜N ONARIMI
5;5201;D˜¦ER;D™žEMEL˜K KUMAžLAR VE PERDELER
5;5202;D˜¦ER;YATAK TAKIMLARI
5;5203;D˜¦ER;MASA ™RTšLER˜ VE BANYO ™RTšLER˜
5;5204;D˜¦ER;EV TEKST˜LLER˜N˜N ONARIMI
5;5209;D˜¦ER;D˜¦ER EV TEKST˜LLER˜
5;5311;D˜¦ER;BUZDOLAPLARI, DONDURUCULAR VE DER˜N DONDURUCULAR
5;5312;D˜¦ER;€AMAžIR YIKAMA MAK˜NELER˜, €AMAžIR KURUTMA MAK˜NELER˜ VE BULAžIK YIKAMA MAK˜NELER˜
5;5313;D˜¦ER;FIRINLAR
5;5314;D˜¦ER;ISITICILAR, KL˜MALAR
5;5315;D˜¦ER;TEM˜ZL˜K EK˜PMANI
5;5319;D˜¦ER;D˜¦ER BšYšK EV ALETLER˜
5;5321;D˜¦ER;GIDA ˜žLEME ALETLER˜
5;5322;D˜¦ER;KAHVE MAK˜NELER˜, €AY MAK˜NELER˜ VE BENZER˜ ALETLER
5;5323;D˜¦ER;šTšLER
5;5324;D˜¦ER;EKMEK KIZARTMA MAK˜NELER˜ VE IZGARALAR
5;5329;D˜¦ER;D˜¦ER ELEKTR˜KL˜ Kš€šK EV ALETLER˜
5;5330;D˜¦ER;EV ALETLER˜N˜N TAM˜R˜
5;5401;D˜¦ER;CAM, KR˜STAL, SERAM˜K VE €˜N PORSELEN˜ EžYALAR
5;5402;D˜¦ER;€ATAL BI€AK TAKIMI, D˜¦ER KES˜C˜ ALETLER, GšMšž YEMEK TAKIMLARI
5;5403;D˜¦ER;ELEKTR˜KL˜ OLMAYAN MUTFAK GERE€LER˜ VE EžYALARI
5;5404;D˜¦ER;ZšCCAC˜YE, YEMEK TAKIMI VE EV GERE€LER˜N˜N ONARIMI
5;5511;D˜¦ER;MOTORLU BšYšK ARA€ VE GERE€LER (EV VE BAH€E ˜€˜N)
5;5512;D˜¦ER;BšYšK ARA€ VE GERE€LER˜N (EV VE BAH€E ˜€˜N) TAM˜R˜, LEAS˜NG˜ VE K˜RALANMASI
5;5521;D˜¦ER;MOTORSUZ Kš€šK ALETLER
5;5522;D˜¦ER;€Ež˜TL˜ Kš€šK ALET AKSESUARLARI
5;5523;D˜¦ER;MOTORSUZ Kš€šK ALETLER VE €Ež˜TL˜ AKSESUARLARIN TAM˜R˜
5;5611;D˜¦ER;EV ˜€˜N TEM˜ZL˜K VE BAKIM šRšNLER˜
5;5612;D˜¦ER;D˜¦ER DAYANIKSIZ Kš€šK EV EžYALARI
5;5621;D˜¦ER;šCRETL˜ €ALIžANLAR TARAFINDAN SUNULAN EV ˜€˜ H˜ZMETLER
5;5622;D˜¦ER;TEM˜ZL˜K H˜ZMETLER˜
5;5623;D˜¦ER;MOB˜LYA VE MEFRUžATIN K˜RALANMASI
5;5629;D˜¦ER;D˜¦ER EV ˜€˜ H˜ZMETLER VE HANEHALKI H˜ZMETLER˜
6;6110;D˜¦ER;ECZACILIK šRšNLER˜
6;6121;D˜¦ER;GEBEL˜K TESTLER˜ VE GEBEL˜K ™NLEY˜C˜ MEKAN˜K C˜HAZLAR
6;6129;D˜¦ER;BAžKA YERDE SINIFLANDIRILMAMIž D˜¦ER TIBB˜ šRšNLER
6;6131;D˜¦ER;DšZELT˜C˜ G™ZLšKLER VE KONTAK LENSLER
6;6132;D˜¦ER;˜ž˜TME C˜HAZLARI
6;6133;D˜¦ER;TEDAV˜ AMA€LI ALET VE EK˜PMANLARIN ONARIMI
6;6139;D˜¦ER;D˜¦ER TEDAV˜ AMA€LI ALET VE EK˜PMANLAR
6;6211;D˜¦ER;PRAT˜SYEN HEK˜ML˜K
6;6212;D˜¦ER;UZMAN HEK˜ML˜K
6;6220;D˜¦ER;D˜ž HEK˜ML˜¦˜ H˜ZMETLER˜
6;6231;D˜¦ER;TIBB˜ ANAL˜Z LABORATUVARLARININ VE R™NTGEN MERKEZLER˜N˜N H˜ZMETLER˜
6;6232;D˜¦ER;KAPLICALAR, DšZELT˜C˜ J˜MNAST˜K TEDAV˜S˜, AMBULANS H˜ZMETLER˜ VE TEDAV˜ AMA€LI EK˜PMANLARIN K˜RALANMASI
6;6239;D˜¦ER;D˜¦ER PARAMED˜KAL H˜ZMETLER
6;6300;D˜¦ER;HASTANE H˜ZMETLER˜
7;7111;D˜¦ER;YEN˜ MOTORLU ARA€LAR
7;7112;D˜¦ER;˜K˜NC˜ EL MOTORLU ARA€LAR
7;7120;D˜¦ER;MOTOS˜KLET
7;7130;D˜¦ER;B˜S˜KLET
7;7140;D˜¦ER;HAYVANLAR TARAFINDAN €EK˜LEN ARA€LAR
7;7211;D˜¦ER;LAST˜KLER
7;7212;D˜¦ER;K˜ž˜SEL ULAžIM ARA€LARININ YEDEK PAR€ALARI
7;7213;D˜¦ER;K˜ž˜SEL ULAžIM ARA€LARININ AKSESUARLARI
7;7221;D˜¦ER;D˜ZEL
7;7222;D˜¦ER;BENZ˜N
7;7223;D˜¦ER;K˜ž˜SEL ULAžIM ARA€LARININ D˜¦ER YAKITLARI
7;7224;D˜¦ER;YA¦LAR
7;7230;D˜¦ER;K˜ž˜SEL ULAžIM ARA€LARININ BAKIM VE ONARIMI
7;7241;D˜¦ER;GARAJLARIN, PARK YERLER˜N˜N VE K˜ž˜SEL ULAžIM ARA€LARININ K˜RALANMASI
7;7242;D˜¦ER;GE€˜ž šCRETLER˜ VE PARKMETRELER
7;7243;D˜¦ER;SšRšCš KURSLARI, SšRšCš TESTLER˜, EHL˜YETLER VE YOLA ELVER˜žL˜L˜K TESTLER˜
7;7311;D˜¦ER;TREN ˜LE YOLCU TAžIMACILI¦I
7;7312;D˜¦ER;METRO VE TRAMVAY ˜LE YOLCU TAžIMACILI¦I
7;7321;D˜¦ER;OTOBšS ˜LE YOLCU TAžIMACILI¦I
7;7322;D˜¦ER;TAKS˜ VE žOF™RšYLE K˜RALANMIž ARABA ˜LE YOLCU TAžIMACILI¦I
7;7331;D˜¦ER;YURT ˜€˜ U€UžLAR
7;7332;D˜¦ER;ULUSLARARASI U€UžLAR
7;7341;D˜¦ER;DEN˜Z YOLU ˜LE YOLCU TAžIMACILI¦I
7;7342;D˜¦ER;˜€ SU YOLU ˜LE YOLCU TAžIMACILI¦I
