BULTEN;HHTIPI;KONUTTIP;MULKIYET;KIRA_AY;KIRA_SEK;LOJ_FERT;IZAFI_K;KONUTSAH;KON_BORC;KONDEGER;OTUR_SUR;BINA_TAR;ODA_SAY;KON_ALAN;zemin_SAL;zemin_ODA;zemin_MUT;zemin_BAN;ISIT_SIS;YAKIT_1;YAKIT_2;YAKIT_3;YAKIT_MUT;YAKIT_SU;zor_alýs;zor_banka;zor_posta;zor_ulas;zor_saglý;zor_egiti;konutiki;konut2_n;BANYO;SAUNA;JAKUZI;TUVALET;MUTFAK;COPOGUT;KALORIF;TABANISI;SU_SIS;DOG_GAZ;SICAKSU;KABLOYAY;ASANSOR;GARAJ;HAVUZ;JENRATOR;TELEFON;CEPTEL;BILGISAY;INTERN;LCDTELE;KAMERA;UYDUANT;BUZDOLAB;DERINDON;BULASIK;M_FIRIN;CAMASIR;KURUTMA;HALIYIKA;KLIMA;OYUNKONS;OTOADET;OTOADET2;OTOADET3;ISOTOADT;MOTOADET;DENTADET;MUSKONUT;MUSMIK;MUSKIRA;MUSKDEG;APARTMAN;APTMIK;APTKIRA;APTKDEG;YAZLIK;YAZMIK;YAZKIRA;YAZKDEG;TARLA;TARMIK;TARKIRA;TARKDEG;BAG;BAGMIK;BAGKIRA;BAGKDEG;SERA;SERAMIK;SERAKIRA;SERAKDEG;ARSA;ARSAMIK;ARSAKIRA;ARSAKDEG;DUKKAN;DUKMIK;DUKKIRA;DUKKDEG;OTEL;OTELMIK;OTELKIRA;OTELKDEG;YILKULGEL;EFB_OECD;HARCAMA;HHB;faktor
1400001;1;4;4;0;;;700;;;170000;15;6;4;170;3;3;3;3;4;4;;;4;5;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;3;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;25947;2;2148,95;3;1507,281992
1400002;4;4;1;;;;700;1990;2;160000;18;5;4;148;3;3;3;3;4;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;;;0;0;0;0;;;;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;28733,94;1,5;2529,87;2;1508,562587
1400004;1;3;3;0;;2;300;;;40000;8;6;2;60;3;3;3;3;1;1;;;4;5;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;3;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;18608,18;2;1727,57;3;1507,281992
1400005;5;4;1;;;;750;2000;2;175000;13;6;4;175;3;3;3;3;4;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;3;1;1;1;0;0;1;0;1;0;1;0;0;2;0;1;0;;0;0;0;1;1;0;;1;1;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;48231,54;2;6441,25;3;1341,587503
1400006;6;4;1;;;;800;1994;2;220000;19;6;4;180;1;1;1;3;4;4;;;4;7;3;3;3;3;3;3;2;;1;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;2;1;0;1;0;0;1;1;1;1;1;0;1;3;0;0;;;0;0;0;0;;;;1;1;0;;0;;;;1;1;1;17;0;;;;0;;;;0;;;;0;;;;0;;;;45128,13;1,5;2135,71;2;1500,159295
1400007;5;1;4;0;;;150;;;50000;25;5;3;98;6;6;6;3;1;1;;;4;7;2;2;2;2;2;2;2;;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;;0;0;0;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;39451,56;3,8;2613,64;7;1251,025579
1400008;1;1;4;0;;;150;;;70000;7;8;5;150;1;6;3;3;1;1;;;4;7;2;2;2;2;2;2;2;;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;;0;0;0;0;;;;0;;;;0;;;;1;32;0;;0;;;;0;;;;0;;;;0;;;;0;;;;29152,74;2;3043,71;3;956,6972216
1400009;5;1;1;;;;100;1980;2;60000;33;4;5;90;6;6;6;6;1;1;;;4;7;3;3;3;3;3;3;2;;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;;;0;0;0;1;1;0;;0;;;;0;;;;1;80;0;;0;;;;0;;;;0;;;;0;;;;0;;;;39338,2;2,9;1025,53;6;1149,591412
1400011;5;1;1;;;;150;1980;2;30000;33;4;4;140;6;6;6;6;1;1;;;4;1;2;2;2;2;2;2;2;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;;0;0;0;1;1;0;;0;;;;0;;;;1;100;0;;0;;;;0;;;;0;;;;0;;;;0;;;;36777,17;2,3;1118,52;4;657,7285392
1400012;5;1;1;;;;150;1990;2;80000;23;5;5;200;6;6;3;3;1;1;;;4;1;1;1;1;1;1;3;2;;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;;0;0;0;1;1;0;;0;;;;0;;;;1;7;0;;0;;;;0;;;;0;;;;0;;;;0;;;;32253,75;2,6;1942,18;5;1095,502885
