2'li Ana grup kodu;HBS_KOD5;tŸr;Grup adÝ
1;1111;GIDA;PÜRÜN‚
1;1112;GIDA;UN VE DÜÚER TAHILLAR
1;1113;GIDA;EKMEK
1;1114;GIDA;DÜÚER FIRINCILIK †R†NLERÜ
1;1115;GIDA;PÜZZA VE KÜÞ
1;1116;GIDA;MAKARNA †R†NLERÜ VE KUSKUS
1;1117;GIDA;KAHVALTILIK TAHIL †R†NLERÜ
1;1118;GIDA;DÜÚER TAHIL †R†NLERÜ
1;1121;GIDA;SIÚIR VE DANA ETÜ
1;1122;GIDA;DOMUZ ETÜ
1;1123;GIDA;KOYUN, KUZU VE KE‚Ü ETÜ
1;1124;GIDA;K†MES HAYVANI ETÜ
1;1125;GIDA;DÜÚER ETLER
1;1126;GIDA;YENÜLEBÜLÜR SAKATATLAR
1;1127;GIDA;KURUTULMUÞ, TUZLANMIÞ VEYA T†TS†LENMÜÞ ET
1;1128;GIDA;DÜÚER ET M†STAHZARLARI
1;1131;GIDA;TAZE VEYA SOÚUTULMUÞ BALIK
1;1132;GIDA;DONDURULMUÞ BALIK
1;1133;GIDA;TAZE VEYA SOÚUTULMUÞ DENÜZ †R†NLERÜ
1;1134;GIDA;DONDURULMUÞ DENÜZ †R†NLERÜ
1;1135;GIDA;KURUTULMUÞ, T†TS†LENMÜÞ VEYA TUZLANMIÞ BALIK VE DENÜZ †R†NLERÜ
1;1136;GIDA;DÜÚER KORUNMUÞ VEYA ÜÞLENMÜÞ BALIK VE DENÜZ †R†N† BAZLI M†STAHZARLAR
1;1141;GIDA;TAM YAÚLI S†T
1;1142;GIDA;AZ YAÚLI S†T
1;1143;GIDA;KORUNMUÞ S†T
1;1144;GIDA;YOÚURT
1;1145;GIDA;PEYNÜR VE LOR
1;1146;GIDA;DÜÚER S†T †R†NLERÜ
1;1147;GIDA;YUMURTA
1;1151;GIDA;TEREYAÚI
1;1152;GIDA;MARGARÜN VE DÜÚER BÜTKÜSEL KATI YAÚLAR
1;1153;GIDA;ZEYTÜNYAÚI
1;1154;GIDA;DÜÚER YENÜLEBÜLÜR SIVI YAÚLAR
1;1155;GIDA;DÜÚER YENÜLEBÜLÜR HAYVANSAL KATI YAÚLAR
1;1161;GIDA;TAZE VEYA SOÚUTULMUÞ MEYVELER
1;1162;GIDA;DONDURULMUÞ MEYVELER
1;1163;GIDA;KURUTULMUÞ MEYVELER VE SERT KABUKLU MEYVELER
1;1164;GIDA;KORUNMUÞ MEYVELER VE MEYVE BAZLI †R†NLER
1;1171;GIDA;TAZE VEYA SOÚUTULMUÞ SEBZELER (PATATES VE DÜÚER YUMRU K…KL† SEBZELER HARÜ‚)
1;1172;GIDA;DONDURULMUÞ SEBZELER (PATATES VE DÜÚER YUMRU K…KL† SEBZELER HARÜ‚)
