BIRIMNO,HH_TIP_HBA,KONUT_TIP,MULKIYET,KIRA_TUTAR,KIRA_SEKLI,FERTNO_LOJMAN,KIRA_IZAFI,KONUT_BORC,KONUT_PIYASA_DEGER,KONUT_SURE_YIL,KONUT_SURE_AY,BINA_YIL,ODA_SAYI,KONUT_ALAN,ZEMIN_SALON,ZEMIN_ODA,ZEMIN_MUTFAK,ZEMIN_BANYO,ISITMA_SISTEM,YAKIT_TUR_1,YAKIT_TUR_2,YAKIT_TUR_3,YAKIT_TUR_MUTFAK,YAKIT_TUR_SICAKSU,OLCEK_ALISVERIS,OLCEK_BANKACILIK,OLCEK_POSTA,OLCEK_ULASIM,OLCEK_SAGLIK_MERKEZI,OLCEK_ZORUNLU_EGITIM,KONUT_IKINCI,BANYO,SAUNA,JAKUZI,TUVALET,MUTFAK,COP_OGUTUCU,KALORIFER,TABAN_ISITMA,BORULU_SU_SISTEM,DOGALGAZ,SICAKSU,KABLO_YAYIN,ASANSOR,GARAJ,HAVUZ,JENERATOR,GUVENLIK_SISTEM,BALKON,BAHCE,COCUK_OYUN_ALAN,TELEFON_HAT_SAYI,CEP_TELEFON_SAYI,BILGISAYAR_SAYI,INTERNET_SAYI,PANEL_TV_SAYI,VIDEO_KAMERA_SAYI,UYDU_ANTEN_SAYI,BUZDOLABI_SAYI,DERIN_DONDURUCU_SAYI,BULASIK_MAKINE_SAYI,MIKRODALGA_FIRIN_SAYI,CAMASIR_MAKINE_SAYI,CAMASIR_KURUTMA_SAYI,HALI_YIKAMA_SAYI,KLIMA_SAYI,OYUN_KONSOL_SAYI,OTOMOBIL_SAYI,ISVEREN_ARAC_SAYI,MOTOSIKLET_SAYI,DENIZTASIT_SAYI,MUSKONUT_SAHIPLIGI,MUSKONUT_MIKTAR,MUSKONUT_KIRAYA_VERILEN,MUSKONUT_AYLIK_KIRA,APARTMAN_SAHIPLIGI,APARTMAN_MIKTAR,APARTMAN_KIRAYA_VERILEN,APARTMAN_AYLIK_KIRA,YAZLIK_SAHIPLIGI,YAZLIK_MIKTAR,YAZLIK_KIRAYA_VERILEN,YAZLIK_AYLIK_KIRA,TARLA_SAHIPLIGI,TARLA_MIKTAR,TARLA_KIRAYA_VERILEN,TARLA_AYLIK_KIRA,BAG_SAHIPLIGI,BAG_MIKTAR,BAG_KIRAYA_VERILEN,BAG_AYLIK_KIRA,SERA_SAHIPLIGI,SERA_MIKTAR,SERA_KIRAYA_VERILEN,SERA_AYLIK_KIRA,ARSA_SAHIPLIGI,ARSA_MIKTAR,ARSA_KIRAYA_VERILEN,ARSA_AYLIK_KIRA,DUKKAN_SAHIPLIGI,DUKKAN_MIKTAR,DUKKAN_KIRAYA_VERILEN,DUKKAN_AYLIK_KIRA,OTEL_SAHIPLIGI,OTEL_MIKTAR,OTEL_KIRAYA_VERILEN,OTEL_AYLIK_KIRA,ELEKTRIKLI_BISIKLET_SAYI,SIGARA_ALISKANLIK,ALKOL_ALISKANLIK,DISARIDA_YEMEK,GAZETE_ALISKANLIK,DERGI_ALISKANLIK,SINEMA_ALISKANLIK,UCRETLI_TV_ALISKANLIK,UCRETLI_SPOR_ALISKANLIK,SANS_OYUN_ALISKANLIK,KAHVEHANE_ALISKANLIK,OZEL_SIGORTA,KREDI_KARTI,PAZAR_ALISKANLIK,INTERNET_ALISVERIS_SIKLIK,TASARRUF_1,TASARRUF_2,TASARRUF_3,TASARRUF_4,YILKULGEL,EFB_OECD,HARCAMA,HHB,FAKTOR
1600001,1,1,1,,,,200,2,10000,37,,4,2,100,2,2,2,6,5,11,,,11,6,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,,2,,,,2,,,,1,60,0,,1,1,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,2,2,2,2,90,90,,,,29901.79,2,2682.27,3,265.44698791
1600002,4,1,1,,,,100,2,10000,52,,3,2,120,2,2,2,6,5,11,,,11,6,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,67,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,15133.53,1.5,1351.56,2,264.95206140
1600004,5,1,1,,,,100,2,10000,76,,1,3,120,2,2,2,6,5,11,,,11,6,5,5,5,5,5,5,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,30,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,1,2,90,90,,,,47867.31,3.4,2376.94,7,265.71454176
1600005,4,1,1,,,,100,2,10000,12,,7,2,110,2,2,,2,5,11,,,11,6,5,5,5,5,5,5,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,3,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,24603.57,1.5,1197.79,2,265.86660475
1600006,4,1,1,,,,100,2,10000,76,,1,2,100,2,2,2,6,5,11,,,11,11,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,36,2,10,1,1,0,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,18217.23,1.5,1058.53,2,264.95206140
1600007,1,4,2,670,2,,,,,5,,6,3,90,3,3,3,3,7,5,,,4,5,3,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,0,2,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,1,2,2,2,1,90,90,,,,34793.19,1.8,1688.57,3,1337.33990966
1600008,2,4,1,,,,750,2,250000,7,,8,5,200,1,1,1,3,3,3,,,3,3,4,4,4,4,4,4,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,2,0,2,1,1,1,0,1,1,0,1,1,1,0,1,2,0,0,1,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,1,1,2,2,2,1,1,90,90,,,,79301.75,2.1,4401.39,4,1271.78235811
1600009,1,4,1,,,,900,2,300000,3,,8,4,175,1,1,3,3,6,5,,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,0,2,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,2,,,,1,1,0,,2,,,,1,27,1,1000,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,46785.48,1.8,5807.32,3,1991.10654939
1600010,1,4,1,,,,1000,2,300000,3,,8,4,165,1,1,8,8,3,3,,,4,3,4,4,4,4,4,4,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,2,0,2,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,2,,,,1,2,1,800,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,1,1,90,90,,,,49058.54,2,3356.26,3,1660.29810381
1600011,2,1,1,,,,450,2,100000,6,,5,3,85,3,3,3,3,5,12,11,,4,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,4,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,2,1,250,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,1,90,90,,,,37230.89,2.5,2466.82,4,1727.92558864
