BIRIMNO,HH_TIP_HBA,KONUT_TIP,MULKIYET,KIRA_TUTAR,KIRA_SEKLI,FERTNO_LOJMAN,KIRA_IZAFI,KONUT_BORC,KONUT_PIYASA_DEGER,KONUT_SURE_YIL,KONUT_SURE_AY,BINA_YIL,ODA_SAYI,KONUT_ALAN,ZEMIN_SALON,ZEMIN_ODA,ZEMIN_MUTFAK,ZEMIN_BANYO,ISITMA_SISTEM,YAKIT_TUR_1,YAKIT_TUR_2,YAKIT_TUR_3,YAKIT_TUR_MUTFAK,YAKIT_TUR_SICAKSU,OLCEK_ALISVERIS,OLCEK_BANKACILIK,OLCEK_POSTA,OLCEK_ULASIM,OLCEK_SAGLIK_MERKEZI,OLCEK_ZORUNLU_EGITIM,KONUT_IKINCI,BANYO,SAUNA,JAKUZI,TUVALET,MUTFAK,COP_OGUTUCU,KALORIFER,TABAN_ISITMA,BORULU_SU_SISTEM,DOGALGAZ,SICAKSU,KABLO_YAYIN,ASANSOR,GARAJ,HAVUZ,JENERATOR,GUVENLIK_SISTEM,BALKON,BAHCE,COCUK_OYUN_ALAN,TELEFON_HAT_SAYI,CEP_TELEFON_SAYI,BILGISAYAR_SAYI,INTERNET_SAYI,PANEL_TV_SAYI,VIDEO_KAMERA_SAYI,UYDU_ANTEN_SAYI,BUZDOLABI_SAYI,DERIN_DONDURUCU_SAYI,BULASIK_MAKINE_SAYI,MIKRODALGA_FIRIN_SAYI,CAMASIR_MAKINE_SAYI,CAMASIR_KURUTMA_SAYI,HALI_YIKAMA_SAYI,KLIMA_SAYI,OYUN_KONSOL_SAYI,OTOMOBIL_SAYI,ISVEREN_ARAC_SAYI,MOTOSIKLET_SAYI,DENIZTASIT_SAYI,MUSKONUT_SAHIPLIGI,MUSKONUT_MIKTAR,MUSKONUT_KIRAYA_VERILEN,MUSKONUT_AYLIK_KIRA,APARTMAN_SAHIPLIGI,APARTMAN_MIKTAR,APARTMAN_KIRAYA_VERILEN,APARTMAN_AYLIK_KIRA,YAZLIK_SAHIPLIGI,YAZLIK_MIKTAR,YAZLIK_KIRAYA_VERILEN,YAZLIK_AYLIK_KIRA,TARLA_SAHIPLIGI,TARLA_MIKTAR,TARLA_KIRAYA_VERILEN,TARLA_AYLIK_KIRA,BAG_SAHIPLIGI,BAG_MIKTAR,BAG_KIRAYA_VERILEN,BAG_AYLIK_KIRA,SERA_SAHIPLIGI,SERA_MIKTAR,SERA_KIRAYA_VERILEN,SERA_AYLIK_KIRA,ARSA_SAHIPLIGI,ARSA_MIKTAR,ARSA_KIRAYA_VERILEN,ARSA_AYLIK_KIRA,DUKKAN_SAHIPLIGI,DUKKAN_MIKTAR,DUKKAN_KIRAYA_VERILEN,DUKKAN_AYLIK_KIRA,OTEL_SAHIPLIGI,OTEL_MIKTAR,OTEL_KIRAYA_VERILEN,OTEL_AYLIK_KIRA,ELEKTRIKLI_BISIKLET_SAYI,SIGARA_ALISKANLIK,ALKOL_ALISKANLIK,DISARIDA_YEMEK,GAZETE_ALISKANLIK,DERGI_ALISKANLIK,SINEMA_ALISKANLIK,UCRETLI_TV_ALISKANLIK,UCRETLI_SPOR_ALISKANLIK,SANS_OYUN_ALISKANLIK,KAHVEHANE_ALISKANLIK,OZEL_SIGORTA,KREDI_KARTI,PAZAR_ALISKANLIK,INTERNET_ALISVERIS_SIKLIK,TASARRUF_1,TASARRUF_2,TASARRUF_3,TASARRUF_4,YILKULGEL,EFB_OECD,HARCAMA,HHB,FAKTOR
1900002,1,11,1,,,,125,2,30000,46,,4,3,80,2,2,2,3,2,111211,,,111211,1512,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,20,0,,1,4,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,1,2,2,2,2,2,2,2,2,2,2,90,5,,,,31667.44,1,2128.21,1,298.42868741
1900003,22,11,1,,,,85,2,20000,18,,6,3,80,2,2,2,6,2,111211,,,111211,1512,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,0,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,,2,,,,2,,,,1,10,0,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,9,,,,76725.45,3.1,3459.23,6,298.87267614
1900004,1,11,1,,,,100,2,24000,48,,3,3,90,2,2,2,6,2,111211,,,111211,111211,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,46,0,,1,2,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,5,,,,24050.47,1,2431.84,1,298.42868741
1900005,22,11,1,,,,85,2,20000,4,,8,3,80,2,2,2,3,2,111211,,,111211,111211,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,1,466,0,,2,,,,2,,,,0,1,2,2,2,2,2,2,2,2,2,2,2,2,90,1,,,,62333.61,2.7,1791.71,6,299.03048743
1900006,3,11,1,,,,85,2,20000,17,,7,3,100,2,2,2,6,2,111211,,,111211,111211,5,5,5,5,5,5,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,2,,,,2,,,,1,20,0,,1,1,0,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,90,,,,36359.92,2.3,3044.01,4,297.83820308
1900007,3,122,1,,,,800,2,150000,32,,4,4,100,1,1,3,3,2,111211,,,1316,1512,2,4,4,4,4,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,0,3,0,1,2,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0,1,2,0,,2,,,,2,,,,2,,,,1,1,0,,2,,,,2,,,,1,1,1,417,2,,,,0,2,2,2,2,2,2,2,2,2,2,1,1,2,90,90,,,,37658.52,2,2089.64,3,1294.85973885
1900008,22,122,2,375,2,,,,,4,,3,3,80,3,3,3,3,2,111211,1111,14,1316,1512,2,3,3,3,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,1,1,90,90,,,,26768.84,2.4,2905.48,5,2361.82038981
1900009,21,11,4,,,,400,,,49,,3,2,75,3,3,3,3,32,14,,,1316,1512,2,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,1,2,90,90,,,,25090.62,1.5,3333.1,2,1832.22834220
1900010,22,11,1,,,,500,2,100000,18,,7,3,100,6,6,6,6,2,111212,,,1316,1512,2,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,0,4,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,,1,1,1,500,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,1,2,1,2,2,2,2,2,2,2,2,1,1,90,90,,,,62245.55,3.5,3976.03,6,4196.22730648
1900011,1,132,1,,,,400,2,80000,20,,5,2,70,3,3,3,3,32,14,,,1316,1512,2,3,3,3,3,3,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,,,,1,1,0,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,90,98,,,,24076.32,1,929,1,2686.81527505
